table,register_name,bits,field_name,description,type,reset
Table 4-23: por_ccg_ha_node_info attributes,por_ccg_ha_node_info,[47:32],logical_id,Component logical ID dependent,RO,Configuration dependent
Table 4-23: por_ccg_ha_node_info attributes,por_ccg_ha_node_info,[31:16],node_id,Component CHI node ID dependent,RO,Configuration dependent
Table 4-23: por_ccg_ha_node_info attributes,por_ccg_ha_node_info,[15:0],node_type,CMN-700 node type identifier 16'h0104,RO,-
Table 4-24: por_ccg_ha_id attributes,por_ccg_ha_id,[63:10],Reserved,Reserved,RO,-
Table 4-24: por_ccg_ha_id attributes,por_ccg_ha_id,[9:0],ccix_haid,CCIX HAID 10'h0,RW,-
Table 4-25: por_ccg_ha_child_info attributes,por_ccg_ha_child_info,[63:32],Reserved,Reserved,RO,-
Table 4-25: por_ccg_ha_child_info attributes,por_ccg_ha_child_info,[31:16],child_ptr_offset,Starting register offset which contains pointers to the child nodes 16'h0,RO,-
Table 4-25: por_ccg_ha_child_info attributes,por_ccg_ha_child_info,[15:0],child_count,Number of child nodes; used in discovery process 16'h0,RO,-
Table 4-26: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[63:7],Reserved,Reserved,RO,-
Table 4-26: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[6],ns_override,NS override value 1'b0,RW,-
Table 4-26: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[5],ns_override_en,"NS override en When set, NS(Non-secure) value on CHI side is driven from NS override value in this register 1'b0",RW,-
Table 4-26: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[4:1],qos_override,QoS override value 4'b0,RW,-
Table 4-26: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[0],qos_override_en,"QoS override en When set, QoS value on CHI side is driven from QoS override value in this 1'b0",RW,-
Table 4-27: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[63:26],Reserved,Reserved,RO,-
Table 4-27: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[25],cxl_upd_snpcurr2snpdata,"When set, updates SnpCurr to SnpData on CXL.Cache 1'b0",RW,-
Table 4-27: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[24],earlycomp_dis,"When set, disables sending early completions for requests 1'b0",RW,-
Table 4-27: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[23],disable_cxl_hw_snoopdomain_reqack,"When set, disables CXL Hardware based Snoop domain handshake 1'b0",RW,-
Table 4-27: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[22],cxl_rspvhitv_force_uc,"When set, forces UC response state for Snoop response on CHI when D2H RspVHitV response is received on CXL 1'b0",RW,-
Table 4-27: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[21:20],max_dat_rspout_msgs,Used to configure the maximum number of response data messages (Read Data) presented to CCLA's packing logic. 2'b00 one message 2'b01 two messages 2'b10 three messages 2'b11 four messages Note: The max is further limited by max allowed by the given protocol (CCIX2.0/CXL.mem/CXL.cache) 2'b11,RW,-
Table 4-27: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[19:18],max_nd_rspout_msgs,Used to configure the maximum number of non-data response messages (Completions/GO/WritePulls) presented to CCLA's packing logic. 2'b00 one message 2'b01 two messages 2'b10 three messages 2'b11 four messages Note: The max is further limited by max allowed by the given protocol (CCIX2.0/CXL.mem/CXL.cache) 2'b11,RW,-
Table 4-27: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[17],passive_buf_force_ue,"When set, focres all DE's originating in Passive Buffer to be reported as UEs 1'b0",RW,-
Table 4-27: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[16],snpreq_copyback_haz_en,When set enables Snoop-CopyBack hazarding at incoming Snoop Request pipe 1'b0,RW,-
Table 4-27: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[15:7],Reserved,Reserved,RO,-
Table 4-27: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[6],disable_chic_dmt,When set disables CHI-C style DMT 1'b0,RW,-
Table 4-27: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[5],disable_cg_flopen,Disables enhanced flop enable control for dynamic power savings 1'b0,RW,-
Table 4-27: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[4],Reserved,Reserved,RO,-
Table 4-27: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[3],early_compack_en,Early CompAck enable; enables sending early CompAck on CCIX for requests that require CompAck 1'b1,RW,-
Table 4-27: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[2],remote_chia_rnf_present,"Indicates existence of CHIA RN-F in system; HA uses this indication to send SnpToS or SnpToSC 1'b0 HA converts SnpShared, SnpClean, and SnpNotSharedDirty to SnpToSC 1'b1 HA converts SnpShared, SnpClean, and SnpNotSharedDirty to SnpToS 1'b0",RW,-
Table 4-27: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[1],snoop_dataret_disable,Disables setting data return for CCIX snoop requests for all CHI snoop opcodes 1'b0,RW,-
Table 4-27: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[0],cg_disable,Disables clock gating when set 1'b0,RW,-
Table 4-28: por_ccg_ha_mpam_control_link0 attributes,por_ccg_ha_mpam_control_link0,[63:25],Reserved,Reserved,RO,-
Table 4-28: por_ccg_ha_mpam_control_link0 attributes,por_ccg_ha_mpam_control_link0,[24],mpam_pmg0,MPAM_PMG value 1'b0,RW,-
Table 4-28: por_ccg_ha_mpam_control_link0 attributes,por_ccg_ha_mpam_control_link0,[23:17],Reserved,Reserved,RO,-
Table 4-28: por_ccg_ha_mpam_control_link0 attributes,por_ccg_ha_mpam_control_link0,[16:8],mpam_partid0,MPAM_PARTID value 9'b0,RW,-
Table 4-28: por_ccg_ha_mpam_control_link0 attributes,por_ccg_ha_mpam_control_link0,[7:5],Reserved,Reserved,RO,-
Table 4-28: por_ccg_ha_mpam_control_link0 attributes,por_ccg_ha_mpam_control_link0,[4],mpam_ns0,MPAM_NS value 1'b0,RW,-
Table 4-28: por_ccg_ha_mpam_control_link0 attributes,por_ccg_ha_mpam_control_link0,[3:1],Reserved,Reserved,RO,-
Table 4-28: por_ccg_ha_mpam_control_link0 attributes,por_ccg_ha_mpam_control_link0,[0],mpam_override_en0,"MPAM override en When set, MPAM value on CHI side is driven from MPAM override value in this register. Applicable only in non-SMP mode 1'b0",RW,-
Table 4-29: por_ccg_ha_mpam_control_link1 attributes,por_ccg_ha_mpam_control_link1,[63:25],Reserved,Reserved,RO,-
Table 4-29: por_ccg_ha_mpam_control_link1 attributes,por_ccg_ha_mpam_control_link1,[24],mpam_pmg1,MPAM_PMG value 1'b0,RW,-
Table 4-29: por_ccg_ha_mpam_control_link1 attributes,por_ccg_ha_mpam_control_link1,[23:17],Reserved,Reserved,RO,-
Table 4-29: por_ccg_ha_mpam_control_link1 attributes,por_ccg_ha_mpam_control_link1,[16:8],mpam_partid1,MPAM_PARTID value 9'b0,RW,-
Table 4-29: por_ccg_ha_mpam_control_link1 attributes,por_ccg_ha_mpam_control_link1,[7:5],Reserved,Reserved,RO,-
Table 4-29: por_ccg_ha_mpam_control_link1 attributes,por_ccg_ha_mpam_control_link1,[4],mpam_ns1,MPAM_NS value 1'b0,RW,-
Table 4-29: por_ccg_ha_mpam_control_link1 attributes,por_ccg_ha_mpam_control_link1,[3:1],Reserved,Reserved,RO,-
Table 4-29: por_ccg_ha_mpam_control_link1 attributes,por_ccg_ha_mpam_control_link1,[0],mpam_override_en1,"MPAM override en When set, MPAM value on CHI side is driven from MPAM override value in this register. Applicable only in non-SMP mode 1'b0",RW,-
Table 4-30: por_ccg_ha_mpam_control_link2 attributes,por_ccg_ha_mpam_control_link2,[63:25],Reserved,Reserved,RO,-
Table 4-30: por_ccg_ha_mpam_control_link2 attributes,por_ccg_ha_mpam_control_link2,[24],mpam_pmg2,MPAM_PMG value 1'b0,RW,-
Table 4-30: por_ccg_ha_mpam_control_link2 attributes,por_ccg_ha_mpam_control_link2,[23:17],Reserved,Reserved,RO,-
Table 4-30: por_ccg_ha_mpam_control_link2 attributes,por_ccg_ha_mpam_control_link2,[16:8],mpam_partid2,MPAM_PARTID value 9'b0,RW,-
Table 4-30: por_ccg_ha_mpam_control_link2 attributes,por_ccg_ha_mpam_control_link2,[7:5],Reserved,Reserved,RO,-
Table 4-30: por_ccg_ha_mpam_control_link2 attributes,por_ccg_ha_mpam_control_link2,[4],mpam_ns2,MPAM_NS value 1'b0,RW,-
Table 4-30: por_ccg_ha_mpam_control_link2 attributes,por_ccg_ha_mpam_control_link2,[3:1],Reserved,Reserved,RO,-
Table 4-30: por_ccg_ha_mpam_control_link2 attributes,por_ccg_ha_mpam_control_link2,[0],mpam_override_en2,"MPAM override en When set, MPAM value on CHI side is driven from MPAM override value in this register. Applicable only in non-SMP mode 1'b0",RW,-
Table 4-31: por_ccg_ha_secure_register_groups_override attributes,por_ccg_ha_secure_register_groups_override,[63:4],Reserved,Reserved,RO,-
Table 4-31: por_ccg_ha_secure_register_groups_override attributes,por_ccg_ha_secure_register_groups_override,[3],cfg_ctl,Allows Non-secure access to Secure HA config control registers 1'b0,RW,-
Table 4-31: por_ccg_ha_secure_register_groups_override attributes,por_ccg_ha_secure_register_groups_override,[2],mpam_ctl,Allows Non-secure access to Secure HA MPAM override registers 1'b0,RW,-
Table 4-31: por_ccg_ha_secure_register_groups_override attributes,por_ccg_ha_secure_register_groups_override,[1],linkid_ctl,Allows Non-secure access to Secure HA Link ID registers 1'b0,RW,-
Table 4-31: por_ccg_ha_secure_register_groups_override attributes,por_ccg_ha_secure_register_groups_override,[0],ldid_ctl,Allows Non-secure access to Secure HA LDID registers 1'b0,RW,-
Table 4-32: por_ccg_ha_unit_info attributes,por_ccg_ha_unit_info,[63],Reserved,Reserved,RO,-
Table 4-32: por_ccg_ha_unit_info attributes,por_ccg_ha_unit_info,[62:54],snoop_compack_hazbuf_depth,Depth of CompAck snoop hazard buffer dependent,RO,Configuration dependent
Table 4-32: por_ccg_ha_unit_info attributes,por_ccg_ha_unit_info,[53:45],snoop_databuffer_depth,Depth of snoop data buffer dependent,RO,Configuration dependent
Table 4-32: por_ccg_ha_unit_info attributes,por_ccg_ha_unit_info,[44:36],snoop_tracker_depth,Depth of snoop tracker; number of outstanding SNP requests on CCIX dependent,RO,Configuration dependent
Table 4-32: por_ccg_ha_unit_info attributes,por_ccg_ha_unit_info,[35:26],snoop_request_sinkbuffer_depth,Depth of snoop request sink buffer; number of CHI SNP requests that can be sunk by CXHA dependent,RO,Configuration dependent
Table 4-32: por_ccg_ha_unit_info attributes,por_ccg_ha_unit_info,[25:18],wdb_depth,Depth of write data buffer dependent,RO,Configuration dependent
Table 4-32: por_ccg_ha_unit_info attributes,por_ccg_ha_unit_info,[17:9],rdb_depth,Depth of read data buffer dependent,RO,Configuration dependent
Table 4-32: por_ccg_ha_unit_info attributes,por_ccg_ha_unit_info,[8:0],request_tracker_depth,Depth of request tracker dependent,RO,Configuration dependent
Table 4-33: por_ccg_ha_unit_info2 attributes,por_ccg_ha_unit_info2,[63:60],Reserved,Reserved,RO,-
Table 4-33: por_ccg_ha_unit_info2 attributes,por_ccg_ha_unit_info2,[59:50],ha_rni_num_atomic_bufs,Number of HA_RNI atomic data buffers dependent,RO,Configuration dependent
Table 4-33: por_ccg_ha_unit_info2 attributes,por_ccg_ha_unit_info2,[49:40],ha_rni_num_rd_bufs,Number of HA_RNI read data buffers dependent,RO,Configuration dependent
Table 4-33: por_ccg_ha_unit_info2 attributes,por_ccg_ha_unit_info2,[39:30],ha_rni_num_rd_reqs,Number of HA_RNI outstanding read requests dependent,RO,Configuration dependent
Table 4-33: por_ccg_ha_unit_info2 attributes,por_ccg_ha_unit_info2,[29:20],ha_rni_num_wr_reqs,Number of HA_RNI outstanding write requests dependent,RO,Configuration dependent
Table 4-33: por_ccg_ha_unit_info2 attributes,por_ccg_ha_unit_info2,[19:10],dat_pass_buff_depth,Depth of DAT Passive Buffer dependent,RO,Configuration dependent
Table 4-33: por_ccg_ha_unit_info2 attributes,por_ccg_ha_unit_info2,[9:0],req_pass_buff_depth,Depth of REQ Passive Buffer dependent,RO,Configuration dependent
Table 4-34: por_ccg_ha_unit_info3 attributes,por_ccg_ha_unit_info3,[63:11],Reserved,Reserved,RO,-
Table 4-34: por_ccg_ha_unit_info3 attributes,por_ccg_ha_unit_info3,[10],ha_rni_legacy_decoup_rd,"Legacy decoupled read mode, no read burst propagation dependent",RO,Configuration dependent
Table 4-34: por_ccg_ha_unit_info3 attributes,por_ccg_ha_unit_info3,[9:0],ha_rni_num_rd_reqs_max_per_slice,Number of HA_RNI read request entries per slice dependent,RO,Configuration dependent
Table 4-35: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[63:58],Reserved,Reserved,RO,-
Table 4-35: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[57:56],agent7_linkid,Specifies Link ID 7 2'h0,RW,-
Table 4-35: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[55:50],Reserved,Reserved,RO,-
Table 4-35: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[49:48],agent6_linkid,Specifies Link ID 6 2'h0,RW,-
Table 4-35: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[47:42],Reserved,Reserved,RO,-
Table 4-35: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[41:40],agent5_linkid,Specifies Link ID 5 2'h0,RW,-
Table 4-35: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[39:34],Reserved,Reserved,RO,-
Table 4-35: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[33:32],agent4_linkid,Specifies Link ID 4 2'h0,RW,-
Table 4-35: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[31:26],Reserved,Reserved,RO,-
Table 4-35: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[25:24],agent3_linkid,Specifies Link ID 3 2'h0,RW,-
Table 4-35: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[23:18],Reserved,Reserved,RO,-
Table 4-35: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[17:16],agent2_linkid,Specifies Link ID 2 2'h0,RW,-
Table 4-35: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[15:10],Reserved,Reserved,RO,-
Table 4-35: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[9:8],agent1_linkid,Specifies Link ID 1 2'h0,RW,-
Table 4-35: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[7:2],Reserved,Reserved,RO,-
Table 4-35: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[1:0],agent0_linkid,Specifies Link ID 0 2'h0,RW,-
Table 4-36: por_ccg_ha_agentid_to_linkid_reg1 attributes,por_ccg_ha_agentid_to_linkid_reg1,[63:58],Reserved,Reserved,RO,-
Table 4-36: por_ccg_ha_agentid_to_linkid_reg1 attributes,por_ccg_ha_agentid_to_linkid_reg1,[57:56],agent15_linkid,Specifies Link ID 15 2'h0,RW,-
Table 4-36: por_ccg_ha_agentid_to_linkid_reg1 attributes,por_ccg_ha_agentid_to_linkid_reg1,[55:50],Reserved,Reserved,RO,-
Table 4-36: por_ccg_ha_agentid_to_linkid_reg1 attributes,por_ccg_ha_agentid_to_linkid_reg1,[49:48],agent14_linkid,Specifies Link ID 14 2'h0,RW,-
Table 4-36: por_ccg_ha_agentid_to_linkid_reg1 attributes,por_ccg_ha_agentid_to_linkid_reg1,[47:42],Reserved,Reserved,RO,-
Table 4-36: por_ccg_ha_agentid_to_linkid_reg1 attributes,por_ccg_ha_agentid_to_linkid_reg1,[41:40],agent13_linkid,Specifies Link ID 13 2'h0,RW,-
Table 4-36: por_ccg_ha_agentid_to_linkid_reg1 attributes,por_ccg_ha_agentid_to_linkid_reg1,[39:34],Reserved,Reserved,RO,-
Table 4-36: por_ccg_ha_agentid_to_linkid_reg1 attributes,por_ccg_ha_agentid_to_linkid_reg1,[33:32],agent12_linkid,Specifies Link ID 12 2'h0,RW,-
Table 4-36: por_ccg_ha_agentid_to_linkid_reg1 attributes,por_ccg_ha_agentid_to_linkid_reg1,[31:26],Reserved,Reserved,RO,-
Table 4-36: por_ccg_ha_agentid_to_linkid_reg1 attributes,por_ccg_ha_agentid_to_linkid_reg1,[25:24],agent11_linkid,Specifies Link ID 11 2'h0,RW,-
Table 4-36: por_ccg_ha_agentid_to_linkid_reg1 attributes,por_ccg_ha_agentid_to_linkid_reg1,[23:18],Reserved,Reserved,RO,-
Table 4-36: por_ccg_ha_agentid_to_linkid_reg1 attributes,por_ccg_ha_agentid_to_linkid_reg1,[17:16],agent10_linkid,Specifies Link ID 10 2'h0,RW,-
Table 4-36: por_ccg_ha_agentid_to_linkid_reg1 attributes,por_ccg_ha_agentid_to_linkid_reg1,[15:10],Reserved,Reserved,RO,-
Table 4-36: por_ccg_ha_agentid_to_linkid_reg1 attributes,por_ccg_ha_agentid_to_linkid_reg1,[9:8],agent9_linkid,Specifies Link ID 9 2'h0,RW,-
Table 4-36: por_ccg_ha_agentid_to_linkid_reg1 attributes,por_ccg_ha_agentid_to_linkid_reg1,[7:2],Reserved,Reserved,RO,-
Table 4-36: por_ccg_ha_agentid_to_linkid_reg1 attributes,por_ccg_ha_agentid_to_linkid_reg1,[1:0],agent8_linkid,Specifies Link ID 8 2'h0,RW,-
Table 4-37: por_ccg_ha_agentid_to_linkid_reg2 attributes,por_ccg_ha_agentid_to_linkid_reg2,[63:58],Reserved,Reserved,RO,-
Table 4-37: por_ccg_ha_agentid_to_linkid_reg2 attributes,por_ccg_ha_agentid_to_linkid_reg2,[57:56],agent23_linkid,Specifies Link ID 23 2'h0,RW,-
Table 4-37: por_ccg_ha_agentid_to_linkid_reg2 attributes,por_ccg_ha_agentid_to_linkid_reg2,[55:50],Reserved,Reserved,RO,-
Table 4-37: por_ccg_ha_agentid_to_linkid_reg2 attributes,por_ccg_ha_agentid_to_linkid_reg2,[49:48],agent22_linkid,Specifies Link ID 22 2'h0,RW,-
Table 4-37: por_ccg_ha_agentid_to_linkid_reg2 attributes,por_ccg_ha_agentid_to_linkid_reg2,[47:42],Reserved,Reserved,RO,-
Table 4-37: por_ccg_ha_agentid_to_linkid_reg2 attributes,por_ccg_ha_agentid_to_linkid_reg2,[41:40],agent21_linkid,Specifies Link ID 21 2'h0,RW,-
Table 4-37: por_ccg_ha_agentid_to_linkid_reg2 attributes,por_ccg_ha_agentid_to_linkid_reg2,[39:34],Reserved,Reserved,RO,-
Table 4-37: por_ccg_ha_agentid_to_linkid_reg2 attributes,por_ccg_ha_agentid_to_linkid_reg2,[33:32],agent20_linkid,Specifies Link ID 20 2'h0,RW,-
Table 4-37: por_ccg_ha_agentid_to_linkid_reg2 attributes,por_ccg_ha_agentid_to_linkid_reg2,[31:26],Reserved,Reserved,RO,-
Table 4-37: por_ccg_ha_agentid_to_linkid_reg2 attributes,por_ccg_ha_agentid_to_linkid_reg2,[25:24],agent19_linkid,Specifies Link ID 19 2'h0,RW,-
Table 4-37: por_ccg_ha_agentid_to_linkid_reg2 attributes,por_ccg_ha_agentid_to_linkid_reg2,[23:18],Reserved,Reserved,RO,-
Table 4-37: por_ccg_ha_agentid_to_linkid_reg2 attributes,por_ccg_ha_agentid_to_linkid_reg2,[17:16],agent18_linkid,Specifies Link ID 18 2'h0,RW,-
Table 4-37: por_ccg_ha_agentid_to_linkid_reg2 attributes,por_ccg_ha_agentid_to_linkid_reg2,[15:10],Reserved,Reserved,RO,-
Table 4-37: por_ccg_ha_agentid_to_linkid_reg2 attributes,por_ccg_ha_agentid_to_linkid_reg2,[9:8],agent17_linkid,Specifies Link ID 17 2'h0,RW,-
Table 4-37: por_ccg_ha_agentid_to_linkid_reg2 attributes,por_ccg_ha_agentid_to_linkid_reg2,[7:2],Reserved,Reserved,RO,-
Table 4-37: por_ccg_ha_agentid_to_linkid_reg2 attributes,por_ccg_ha_agentid_to_linkid_reg2,[1:0],agent16_linkid,Specifies Link ID 16 2'h0,RW,-
Table 4-38: por_ccg_ha_agentid_to_linkid_reg3 attributes,por_ccg_ha_agentid_to_linkid_reg3,[63:58],Reserved,Reserved,RO,-
Table 4-38: por_ccg_ha_agentid_to_linkid_reg3 attributes,por_ccg_ha_agentid_to_linkid_reg3,[57:56],agent31_linkid,Specifies Link ID 31 2'h0,RW,-
Table 4-38: por_ccg_ha_agentid_to_linkid_reg3 attributes,por_ccg_ha_agentid_to_linkid_reg3,[55:50],Reserved,Reserved,RO,-
Table 4-38: por_ccg_ha_agentid_to_linkid_reg3 attributes,por_ccg_ha_agentid_to_linkid_reg3,[49:48],agent30_linkid,Specifies Link ID 30 2'h0,RW,-
Table 4-38: por_ccg_ha_agentid_to_linkid_reg3 attributes,por_ccg_ha_agentid_to_linkid_reg3,[47:42],Reserved,Reserved,RO,-
Table 4-38: por_ccg_ha_agentid_to_linkid_reg3 attributes,por_ccg_ha_agentid_to_linkid_reg3,[41:40],agent29_linkid,Specifies Link ID 29 2'h0,RW,-
Table 4-38: por_ccg_ha_agentid_to_linkid_reg3 attributes,por_ccg_ha_agentid_to_linkid_reg3,[39:34],Reserved,Reserved,RO,-
Table 4-38: por_ccg_ha_agentid_to_linkid_reg3 attributes,por_ccg_ha_agentid_to_linkid_reg3,[33:32],agent28_linkid,Specifies Link ID 28 2'h0,RW,-
Table 4-38: por_ccg_ha_agentid_to_linkid_reg3 attributes,por_ccg_ha_agentid_to_linkid_reg3,[31:26],Reserved,Reserved,RO,-
Table 4-38: por_ccg_ha_agentid_to_linkid_reg3 attributes,por_ccg_ha_agentid_to_linkid_reg3,[25:24],agent27_linkid,Specifies Link ID 27 2'h0,RW,-
Table 4-38: por_ccg_ha_agentid_to_linkid_reg3 attributes,por_ccg_ha_agentid_to_linkid_reg3,[23:18],Reserved,Reserved,RO,-
Table 4-38: por_ccg_ha_agentid_to_linkid_reg3 attributes,por_ccg_ha_agentid_to_linkid_reg3,[17:16],agent26_linkid,Specifies Link ID 26 2'h0,RW,-
Table 4-38: por_ccg_ha_agentid_to_linkid_reg3 attributes,por_ccg_ha_agentid_to_linkid_reg3,[15:10],Reserved,Reserved,RO,-
Table 4-38: por_ccg_ha_agentid_to_linkid_reg3 attributes,por_ccg_ha_agentid_to_linkid_reg3,[9:8],agent25_linkid,Specifies Link ID 25 2'h0,RW,-
Table 4-38: por_ccg_ha_agentid_to_linkid_reg3 attributes,por_ccg_ha_agentid_to_linkid_reg3,[7:2],Reserved,Reserved,RO,-
Table 4-38: por_ccg_ha_agentid_to_linkid_reg3 attributes,por_ccg_ha_agentid_to_linkid_reg3,[1:0],agent24_linkid,Specifies Link ID 24 2'h0,RW,-
Table 4-39: por_ccg_ha_agentid_to_linkid_reg4 attributes,por_ccg_ha_agentid_to_linkid_reg4,[63:58],Reserved,Reserved,RO,-
Table 4-39: por_ccg_ha_agentid_to_linkid_reg4 attributes,por_ccg_ha_agentid_to_linkid_reg4,[57:56],agent39_linkid,Specifies Link ID 39 2'h0,RW,-
Table 4-39: por_ccg_ha_agentid_to_linkid_reg4 attributes,por_ccg_ha_agentid_to_linkid_reg4,[55:50],Reserved,Reserved,RO,-
Table 4-39: por_ccg_ha_agentid_to_linkid_reg4 attributes,por_ccg_ha_agentid_to_linkid_reg4,[49:48],agent38_linkid,Specifies Link ID 38 2'h0,RW,-
Table 4-39: por_ccg_ha_agentid_to_linkid_reg4 attributes,por_ccg_ha_agentid_to_linkid_reg4,[47:42],Reserved,Reserved,RO,-
Table 4-39: por_ccg_ha_agentid_to_linkid_reg4 attributes,por_ccg_ha_agentid_to_linkid_reg4,[41:40],agent37_linkid,Specifies Link ID 37 2'h0,RW,-
Table 4-39: por_ccg_ha_agentid_to_linkid_reg4 attributes,por_ccg_ha_agentid_to_linkid_reg4,[39:34],Reserved,Reserved,RO,-
Table 4-39: por_ccg_ha_agentid_to_linkid_reg4 attributes,por_ccg_ha_agentid_to_linkid_reg4,[33:32],agent36_linkid,Specifies Link ID 36 2'h0,RW,-
Table 4-39: por_ccg_ha_agentid_to_linkid_reg4 attributes,por_ccg_ha_agentid_to_linkid_reg4,[31:26],Reserved,Reserved,RO,-
Table 4-39: por_ccg_ha_agentid_to_linkid_reg4 attributes,por_ccg_ha_agentid_to_linkid_reg4,[25:24],agent35_linkid,Specifies Link ID 35 2'h0,RW,-
Table 4-39: por_ccg_ha_agentid_to_linkid_reg4 attributes,por_ccg_ha_agentid_to_linkid_reg4,[23:18],Reserved,Reserved,RO,-
Table 4-39: por_ccg_ha_agentid_to_linkid_reg4 attributes,por_ccg_ha_agentid_to_linkid_reg4,[17:16],agent34_linkid,Specifies Link ID 34 2'h0,RW,-
