table,register_name,bits,field_name,description,type,reset
Table 8-16: por_ccg_ha_child_info attributes,por_ccg_ha_child_info,[63:32],Reserved,Reserved,RO,-
Table 8-16: por_ccg_ha_child_info attributes,por_ccg_ha_child_info,[31:16],child_ptr_offset,Starting register offset which contains pointers to the child nodes,RO,0x0
Table 8-16: por_ccg_ha_child_info attributes,por_ccg_ha_child_info,[15:0],child_count,Number of child nodes; used in discovery process,RO,0x0
Table 8-17: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[63:25],Reserved,Reserved,RO,-
Table 8-17: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[24],ha_c2c_txdat_qos_prop_en,"For C2C, propagate QOS from CHI-C2C to CHI-DAT port. If disabled, reflect request value",RW,0b0
Table 8-17: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[23],ha_c2c_rxdat_qos_prop_en,"For C2C, propagate QOS from CHI-DAT port to CHI-C2C. If disabled, QOS=0 on C2C",RW,0b0
Table 8-17: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[22],ha_c2c_early_readreceipt_en,"C2C, for ordered read requests, HA enables the early-readreceipt flow",RW,0b0
Table 8-17: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[21],ha_c2c_early_dbid_en,"C2C, for 3-hop flows Enables the early-dbid flow",RW,0b0
Table 8-17: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[20],ha_dsa_mode_en,"Enables DSA mode, ReadNoSnp & WriteNoSnp requests are sent to SN",RW,0b0
Table 8-17: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[19:16],ha_txn_timeout_threshold,"The number of transaction timeouts, which would trigger UE",RW,0x4
Table 8-17: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[15:12],ha_txn_timeout_value,this field allows system software to modify the Transaction Timeout Value for CCG HA Transactions 0b0000 50us to 10ms 0b0001 50us to 100us 0b0010 1ms to 10ms 0b0101 16ms to 55ms 0b0110 65ms to 210ms 0b1001 260ms to 900ms 0b1010 1s to 3.5s 0b1101 4s to 13s 0b1110 17s to 64s others Reserved,RW,0x0
Table 8-17: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[11],ha_txn_timeout_enable,When Set this bit enables CCG HA Transaction Timeout mechanism.,RW,0b0
Table 8-17: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[10],drop_transactions_on_inbound_cxl_viral,"When set, write/read requests over CCL will be dropped during Inbound CXL Viral. Propagate by default",RW,0b0
Table 8-17: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[9],drop_writes_on_cxl_reset,"When set, write requests over CCL will be dropped during CXL Reset. Propagate by default",RW,0b0
Table 8-17: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[8],nse_override,NSE override value,RW,0b0
Table 8-17: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[7],nse_override_en,"NSE override en When set, NSE(Non-Secure) value on CHI side is driven from NSE override value in this register",RW,0b0
Table 8-17: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[6],ns_override,NS override value,RW,0b1
Table 8-17: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[5],ns_override_en,"NS override en When set, NS(Non-Secure) value on CHI side is driven from NS override value in this register",RW,0b0
Table 8-17: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[4:1],qos_override,QoS override value,RW,0b0
Table 8-17: por_ccg_ha_cfg_ctl attributes,por_ccg_ha_cfg_ctl,[0],qos_override_en,"QoS override en When set, QoS value on CHI side is driven from QoS override value in this register",RW,0b0
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[63:36],Reserved,Reserved,RO,-
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[35],downgrade_dct_en,"When set, Downgrades the Forward Snoop opcodes to the non- forward Snoops.",RW,0b0
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[34],cxl_type1_host_disable_hns_routing_for_ItoMWR,"When set, HA disable sending CXL ItoMWR transactions(LBT bound) to the LCN. ItoMWR transactions (LBT bound) are steered to RA.",RW,0b0
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[33],cxl_type1_host_disable_hns_routing_for_memWR,"When set, HA disable sending CXL memWR transactions(LBT bound) to the LCN. MemWR transactions (LBT bound) are steered to RA.",RW,0b1
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[32],cxl_type1_host_disable_hns_routing,"When set, HA bypasses HNS for LBT bound transactions and directly steers LBT bound transactions to RA",RW,0b0
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[31],downgrade_dct_copyback_haz_en,"When set, Downgrades the Forward Snoop opcodes to the non- forward Snoops during the Copyback hazarding scenarios (data is sent to HNF only). When Reset, Data is sent to RN & HN depending on the RetToSrc and the Copyback opcode.",RW,0b0
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[30],dct_compdat_loopback_en,"When set, enables COMPDATA loopback from HA TXDAT to HA RXDAT. This scenario arises when snoopee and requestor are both in the Remote (HA sends COMPDATA to itself)",RW,0b0
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[29],pass_wlast_on_axid,"When set, forces last txn indicator received from remote chip to be passed as the MSB of AWID for CCG_RNI instance (if present)",RW,0b1
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[28],use_5bit_data_source_enc,"When set, forces use of 5-bit Data Source Encoding (CHI-F)",RW,0b0
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[27],use_4bit_data_source_enc,"When set, forces use of 4-bit Data Source Encoding",RW,0b0
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[26],cxl_disable_mem_attr_overriding,"When set, Disables the static memory attributes on the CHI reqs and derives from RNSAM configuration based on HTG/non- hashed regions",RW,0b0
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[25],cxl_upd_snpcurr2snpdata,"When set, updates SnpCurr to SnpData on CXL.Cache",RW,0b0
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[24],earlycomp_dis,"When set, disables sending early completions for requests. This is applicable to CXL.Cache (writebacks that come with Data) - D2H_DIRTYEVICT",RW,0b1
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[23],disable_cxl_hw_snoopdomain_reqack,"When set, disables CXL Hardware based Snoop domain handshake",RW,0b0
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[22],cxl_rspvhitv_force_uc,"When set, forces UC response state for Snoop response on CHI when D2H RspVHitV response is received on CXL",RW,0b0
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[21:20],max_dat_rspout_msgs,Used to configure the maximum number of response data messages (Read Data) presented to CCLA’s packing logic. 0b00 one message 0b01 two messages 0b10 three messages 0b11 four messages Note The max is further limited by max allowed by the given protocol (CCIX2.0/CXL.mem/CXL.cache),RW,0b11
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[19:18],max_nd_rspout_msgs,Used to configure the maximum number of non-data response messages (Completions/GO/WritePulls) presented to CCLA’s packing logic. 0b00 one message 0b01 two messages 0b10 three messages 0b11 four messages Note The max is further limited by max allowed by the given protocol (CCIX2.0/CXL.mem/CXL.cache),RW,0b11
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[17],passive_buf_force_ue,"When set, focres all DE’s originating in Passive Buffer to be reported as UEs",RW,0b0
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[16],snpreq_copyback_haz_en,When set enables Snoop-CopyBack hazarding at incoming Snoop Request pipe,RW,0b0
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[15:7],Reserved,Reserved,RO,-
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[6],disable_chic_dmt,When set disables CHI-C style DMT,RW,0b0
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[5],disable_cg_flopen,Disables enhanced flop enable control for dynamic power savings,RW,0b0
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[4],Reserved,Reserved,RO,-
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[3],early_compack_en,Early CompAck enable; enables sending early CompAck on CCIX for requests that require CompAck,RW,0b1
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[2],remote_chia_rnf_present,"Indicates existence of CHIA RN-F in system; HA uses this indication to send SnpToS or SnpToSC 0b0 HA converts SnpShared, SnpClean, and SnpNotSharedDirty to SnpToSC 0b1 HA converts SnpShared, SnpClean, and SnpNotSharedDirty to SnpToS",RW,0b0
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[1],snoop_dataret_disable,Disables setting data return for CCIX snoop requests for all CHI snoop opcodes,RW,0b0
Table 8-18: por_ccg_ha_aux_ctl attributes,por_ccg_ha_aux_ctl,[0],cg_disable,Disables clock gating when set,RW,0b0
Table 8-19: por_ccg_ha_mpam_control_link0 attributes,por_ccg_ha_mpam_control_link0,[63:25],Reserved,Reserved,RO,-
Table 8-19: por_ccg_ha_mpam_control_link0 attributes,por_ccg_ha_mpam_control_link0,[24],mpam_pmg0,MPAM_PMG value,RW,0b0
Table 8-19: por_ccg_ha_mpam_control_link0 attributes,por_ccg_ha_mpam_control_link0,[23:20],Reserved,Reserved,RO,-
Table 8-19: por_ccg_ha_mpam_control_link0 attributes,por_ccg_ha_mpam_control_link0,[19:8],mpam_partid0,MPAM_PARTID value,RW,0b0
Table 8-19: por_ccg_ha_mpam_control_link0 attributes,por_ccg_ha_mpam_control_link0,[7:6],Reserved,Reserved,RO,-
Table 8-19: por_ccg_ha_mpam_control_link0 attributes,por_ccg_ha_mpam_control_link0,[5:4],mpam_sp0,MPAM_SP value,RW,0b00
Table 8-19: por_ccg_ha_mpam_control_link0 attributes,por_ccg_ha_mpam_control_link0,[3:1],Reserved,Reserved,RO,-
Table 8-19: por_ccg_ha_mpam_control_link0 attributes,por_ccg_ha_mpam_control_link0,[0],mpam_override_en0,"MPAM override en When set, MPAM value on CHI side is driven from MPAM override value in this register. Applicable only in non-SMP mode",RW,0b0
Table 8-20: por_ccg_ha_mpam_control_link1 attributes,por_ccg_ha_mpam_control_link1,[63:25],Reserved,Reserved,RO,-
Table 8-20: por_ccg_ha_mpam_control_link1 attributes,por_ccg_ha_mpam_control_link1,[24],mpam_pmg1,MPAM_PMG value,RW,0b0
Table 8-20: por_ccg_ha_mpam_control_link1 attributes,por_ccg_ha_mpam_control_link1,[23:20],Reserved,Reserved,RO,-
Table 8-20: por_ccg_ha_mpam_control_link1 attributes,por_ccg_ha_mpam_control_link1,[19:8],mpam_partid1,MPAM_PARTID value,RW,0b0
Table 8-20: por_ccg_ha_mpam_control_link1 attributes,por_ccg_ha_mpam_control_link1,[7:6],Reserved,Reserved,RO,-
Table 8-20: por_ccg_ha_mpam_control_link1 attributes,por_ccg_ha_mpam_control_link1,[5:4],mpam_sp1,MPAM_SP value,RW,0b00
Table 8-20: por_ccg_ha_mpam_control_link1 attributes,por_ccg_ha_mpam_control_link1,[3:1],Reserved,Reserved,RO,-
Table 8-20: por_ccg_ha_mpam_control_link1 attributes,por_ccg_ha_mpam_control_link1,[0],mpam_override_en1,"MPAM override en When set, MPAM value on CHI side is driven from MPAM override value in this register. Applicable only in non-SMP mode",RW,0b0
Table 8-21: por_ccg_ha_mpam_control_link2 attributes,por_ccg_ha_mpam_control_link2,[63:25],Reserved,Reserved,RO,-
Table 8-21: por_ccg_ha_mpam_control_link2 attributes,por_ccg_ha_mpam_control_link2,[24],mpam_pmg2,MPAM_PMG value,RW,0b0
Table 8-21: por_ccg_ha_mpam_control_link2 attributes,por_ccg_ha_mpam_control_link2,[23:20],Reserved,Reserved,RO,-
Table 8-21: por_ccg_ha_mpam_control_link2 attributes,por_ccg_ha_mpam_control_link2,[19:8],mpam_partid2,MPAM_PARTID value,RW,0b0
Table 8-21: por_ccg_ha_mpam_control_link2 attributes,por_ccg_ha_mpam_control_link2,[7:6],Reserved,Reserved,RO,-
Table 8-21: por_ccg_ha_mpam_control_link2 attributes,por_ccg_ha_mpam_control_link2,[5:4],mpam_sp2,MPAM_SP value,RW,0b00
Table 8-21: por_ccg_ha_mpam_control_link2 attributes,por_ccg_ha_mpam_control_link2,[3:1],Reserved,Reserved,RO,-
Table 8-21: por_ccg_ha_mpam_control_link2 attributes,por_ccg_ha_mpam_control_link2,[0],mpam_override_en2,"MPAM override en When set, MPAM value on CHI side is driven from MPAM override value in this register. Applicable only in non-SMP mode",RW,0b0
Table 8-22: por_ccg_ha_link0-2_cache_id_ctl attributes,por_ccg_ha_link0-2_cache_id_ctl,[63:9],Reserved,Reserved,RO,-
Table 8-22: por_ccg_ha_link0-2_cache_id_ctl attributes,por_ccg_ha_link0-2_cache_id_ctl,[8],link#{index}_remote_chip_mode,Defines the remote chip as Hierarchal(HN-S) or Flat(HN-F) 0b0 - Hierarchal system 0b1 - Flat system,RW,0b0
Table 8-22: por_ccg_ha_link0-2_cache_id_ctl attributes,por_ccg_ha_link0-2_cache_id_ctl,[7:6],Reserved,Reserved,RO,-
Table 8-22: por_ccg_ha_link0-2_cache_id_ctl attributes,por_ccg_ha_link0-2_cache_id_ctl,[5:1],link#{index}_global_chip_id,global chip id value,RW,0b0
Table 8-22: por_ccg_ha_link0-2_cache_id_ctl attributes,por_ccg_ha_link0-2_cache_id_ctl,[0],link#{index}_global_chip_id_override_en,override global_chip_id on the incoming requests from non-caching agent,RW,0b0
Table 8-23: por_ccg_ha_scr attributes,por_ccg_ha_scr,[63:4],Reserved,Reserved,RO,-
Table 8-23: por_ccg_ha_scr attributes,por_ccg_ha_scr,[3],cfg_ctl,Secure Control Register for root HA config control registers,RW,0b0
Table 8-23: por_ccg_ha_scr attributes,por_ccg_ha_scr,[2],mpam_ctl,Secure Control Register for root HA MPAM override registers,RW,0b0
Table 8-23: por_ccg_ha_scr attributes,por_ccg_ha_scr,[1],linkid_ctl,Secure Control Register for root HA Link ID registers,RW,0b0
Table 8-23: por_ccg_ha_scr attributes,por_ccg_ha_scr,[0],ldid_ctl,Secure Control Register for root HA LDID registers,RW,0b0
Table 8-24: por_ccg_ha_rcr attributes,por_ccg_ha_rcr,[63:4],Reserved,Reserved,RO,-
Table 8-24: por_ccg_ha_rcr attributes,por_ccg_ha_rcr,[3],cfg_ctl,Root Control Register for root HA config control registers,RW,0b0
Table 8-24: por_ccg_ha_rcr attributes,por_ccg_ha_rcr,[2],mpam_ctl,Root Control Register for root HA MPAM override registers,RW,0b0
Table 8-24: por_ccg_ha_rcr attributes,por_ccg_ha_rcr,[1],linkid_ctl,Root Control Register for root HA Link ID registers,RW,0b0
Table 8-24: por_ccg_ha_rcr attributes,por_ccg_ha_rcr,[0],ldid_ctl,Root Control Register for root HA LDID registers,RW,0b0
Table 8-25: por_ccg_ha_unit_info attributes,por_ccg_ha_unit_info,[63],Reserved,Reserved ‑,RO,-
Table 8-25: por_ccg_ha_unit_info attributes,por_ccg_ha_unit_info,[62:54],snoop_compack_hazbuf_depth,Depth of CompAck snoop hazard buffer,RO,0x10
Table 8-25: por_ccg_ha_unit_info attributes,por_ccg_ha_unit_info,[53:45],snoop_databuffer_depth,Depth of snoop data buffer,RO,0x20
Table 8-25: por_ccg_ha_unit_info attributes,por_ccg_ha_unit_info,[44:36],snoop_tracker_depth,Depth of snoop tracker; number of outstanding SNP requests on CCIX,RO,0x100
Table 8-25: por_ccg_ha_unit_info attributes,por_ccg_ha_unit_info,[35:26],snoop_request_sinkbuffer_depth,Depth of snoop request sink buffer; number of CHI SNP requests that can be sunk by CXHA dependent,RO,Configuration dependent
Table 8-25: por_ccg_ha_unit_info attributes,por_ccg_ha_unit_info,[25:18],wdb_depth,Depth of write data buffer dependent,RO,Configuration dependent
Table 8-25: por_ccg_ha_unit_info attributes,por_ccg_ha_unit_info,[17:9],rdb_depth,Depth of read data buffer dependent,RO,Configuration dependent
Table 8-25: por_ccg_ha_unit_info attributes,por_ccg_ha_unit_info,[8:0],request_tracker_depth,Depth of request tracker dependent,RO,Configuration dependent
Table 8-26: por_ccg_ha_unit_info2 attributes,por_ccg_ha_unit_info2,[63:60],Reserved,Reserved ‑,RO,-
Table 8-26: por_ccg_ha_unit_info2 attributes,por_ccg_ha_unit_info2,[59:50],ha_rni_num_atomic_bufs,Number of HA_RNI atomic data buffers dependent,RO,Configuration dependent
Table 8-26: por_ccg_ha_unit_info2 attributes,por_ccg_ha_unit_info2,[49:40],ha_rni_num_rd_bufs,Number of HA_RNI read data buffers dependent,RO,Configuration dependent
Table 8-26: por_ccg_ha_unit_info2 attributes,por_ccg_ha_unit_info2,[39:30],ha_rni_num_rd_reqs,Number of HA_RNI outstanding read requests dependent,RO,Configuration dependent
Table 8-26: por_ccg_ha_unit_info2 attributes,por_ccg_ha_unit_info2,[29:20],ha_rni_num_wr_reqs,Number of HA_RNI outstanding write requests dependent,RO,Configuration dependent
Table 8-26: por_ccg_ha_unit_info2 attributes,por_ccg_ha_unit_info2,[19:10],dat_pass_buff_depth,Depth of DAT Passive Buffer dependent,RO,Configuration dependent
Table 8-26: por_ccg_ha_unit_info2 attributes,por_ccg_ha_unit_info2,[9:0],req_pass_buff_depth,Depth of REQ Passive Buffer dependent,RO,Configuration dependent
Table 8-27: por_ccg_ha_unit_info3 attributes,por_ccg_ha_unit_info3,[63:59],Reserved,Reserved ‑,RO,-
Table 8-27: por_ccg_ha_unit_info3 attributes,por_ccg_ha_unit_info3,[58:51],ccg_num_ca_link2,Number of Caching agents on the remote chip connected through link2,RO,0x64
Table 8-27: por_ccg_ha_unit_info3 attributes,por_ccg_ha_unit_info3,[50:43],ccg_num_ca_link1,Number of Caching agents on the remote chip connected through link1,RO,0x64
Table 8-27: por_ccg_ha_unit_info3 attributes,por_ccg_ha_unit_info3,[42:35],ccg_num_ca_link0,Number of Caching agents on the remote chip connected through link0,RO,0x64
Table 8-27: por_ccg_ha_unit_info3 attributes,por_ccg_ha_unit_info3,[34:31],cxl_num_dcd_regions,Number of CXL Dynamic Capacity Device Regions,RO,0x0
Table 8-27: por_ccg_ha_unit_info3 attributes,por_ccg_ha_unit_info3,[30:16],cxl_dcd_lut_depth,Depth of CXL Dynamic Capacity Device LUT,RO,0x1024
Table 8-27: por_ccg_ha_unit_info3 attributes,por_ccg_ha_unit_info3,[15],hdm_decoder_iw_3_en,"HDM decoder support for {3, 6, 12} interleave way enabled",RO,0x1
Table 8-27: por_ccg_ha_unit_info3 attributes,por_ccg_ha_unit_info3,[14:11],hdm_num_decoders,Number of HDM decoders,RO,0x1
Table 8-27: por_ccg_ha_unit_info3 attributes,por_ccg_ha_unit_info3,[10],ha_rni_legacy_decoup_rd,"Legacy decoupled read mode, no read burst propagation",RO,0x1
Table 8-27: por_ccg_ha_unit_info3 attributes,por_ccg_ha_unit_info3,[9:0],ha_rni_num_rd_reqs_max_per_slice,Number of HA_RNI read request entries per slice,RO,0x40
Table 8-28: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[63:58],Reserved,Reserved,RO,-
Table 8-28: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[57:56],agent7_linkid,Specifies Link ID for baseid-7,RW,0x0
Table 8-28: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[55:50],Reserved,Reserved,RO,-
Table 8-28: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[49:48],agent6_linkid,Specifies Link ID for baseid-6,RW,0x0
Table 8-28: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[47:42],Reserved,Reserved,RO,-
Table 8-28: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[41:40],agent5_linkid,Specifies Link ID for baseid-5,RW,0x0
Table 8-28: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[39:34],Reserved,Reserved,RO,-
Table 8-28: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[33:32],agent4_linkid,Specifies Link ID for baseid-4,RW,0x0
Table 8-28: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[31:26],Reserved,Reserved,RO,-
Table 8-28: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[25:24],agent3_linkid,Specifies Link ID for baseid-3,RW,0x0
Table 8-28: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[23:18],Reserved,Reserved,RO,-
Table 8-28: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[17:16],agent2_linkid,Specifies Link ID for baseid-2,RW,0x0
Table 8-28: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[15:10],Reserved,Reserved,RO,-
Table 8-28: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[9:8],agent1_linkid,Specifies Link ID for baseid-1,RW,0x0
Table 8-28: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[7:2],Reserved,Reserved,RO,-
Table 8-28: por_ccg_ha_agentid_to_linkid_reg0 attributes,por_ccg_ha_agentid_to_linkid_reg0,[1:0],agent0_linkid,Specifies Link ID for baseid-0,RW,0x0
Table 8-29: por_ccg_ha_agentid_to_linkid_val attributes,por_ccg_ha_agentid_to_linkid_val,[63:8],Reserved,Reserved,RO,-
Table 8-29: por_ccg_ha_agentid_to_linkid_val attributes,por_ccg_ha_agentid_to_linkid_val,[7:0],valid,Specifies whether the Link ID is valid; bit number corresponds to logical Agent ID number (from 0 to 7),RW,0x0
Table 8-30: por_ccg_ha_rnf_exp_raid_to_ldid_reg_0-31 attributes,por_ccg_ha_rnf_exp_raid_to_ldid_reg_0-31,[63],exp_raid_#{index*4+3}_ldid_valid,Specifies if LDID for Expanded RAID #{index*4+3} is valid,RW,0b0
Table 8-30: por_ccg_ha_rnf_exp_raid_to_ldid_reg_0-31 attributes,por_ccg_ha_rnf_exp_raid_to_ldid_reg_0-31,[62],exp_raid_#{index*4+3}_ldid_rnf,Specifies if Expanded RAID #{index*4+3} is RN-F,RW,0b0
Table 8-30: por_ccg_ha_rnf_exp_raid_to_ldid_reg_0-31 attributes,por_ccg_ha_rnf_exp_raid_to_ldid_reg_0-31,[61],exp_raid_#{index*4+3}_ldid_cxl,Specifies if Expanded RAID #{index*4+3} is CXL agent,RW,0b0
Table 8-30: por_ccg_ha_rnf_exp_raid_to_ldid_reg_0-31 attributes,por_ccg_ha_rnf_exp_raid_to_ldid_reg_0-31,[60],Reserved,Reserved,RO,-
Table 8-30: por_ccg_ha_rnf_exp_raid_to_ldid_reg_0-31 attributes,por_ccg_ha_rnf_exp_raid_to_ldid_reg_0-31,[59:48],exp_raid_#{index*4+3}_ldid,Specifies the LDID for Expanded RAID #{index*4+3},RW,0x0
Table 8-30: por_ccg_ha_rnf_exp_raid_to_ldid_reg_0-31 attributes,por_ccg_ha_rnf_exp_raid_to_ldid_reg_0-31,[47],exp_raid_#{index*4+2}_ldid_valid,Specifies if LDID for Expanded RAID #{index*4+2} is valid,RW,0b0
Table 8-30: por_ccg_ha_rnf_exp_raid_to_ldid_reg_0-31 attributes,por_ccg_ha_rnf_exp_raid_to_ldid_reg_0-31,[46],exp_raid_#{index*4+2}_ldid_rnf,Specifies if Expanded RAID #{index*4+2} is RN-F,RW,0b0
